NomeLoja;EnderecoWeb
Monster Burguer e Pizzaria;https://www.ifood.com.br/delivery/igarassu-pe/monster-burguer-e-pizzaria-umbura/bc5f2cc8-7cf2-4494-a549-626754a58507
Pizza em Casa;https://www.ifood.com.br/delivery/igarassu-pe/pizza-em-casa-jardim-boa-sorte/ec6a3997-c0d3-4598-9e0c-4c43b4fee1f6
Bonna Massa;https://www.ifood.com.br/delivery/igarassu-pe/bonna-massa-panco/95f7c3ca-663d-48ca-90d5-5fcb47d68708
Tapiocaria e Pizzaria Dekas;https://www.ifood.com.br/delivery/igarassu-pe/tapiocaria-e-pizzaria-dekas-santo-antonio/c466f0ad-fc3d-4ce2-bb34-3a643ebb78fe
Pizzaria Sensacao;https://www.ifood.com.br/delivery/igarassu-pe/pizzaria-sensacao-saramandaia/165f94bf-6e6c-47ca-b76c-de23c51caf20
Pizzaria do Grau;https://www.ifood.com.br/delivery/igarassu-pe/pizzaria-do-grau-igarassu/a1b7bd05-0c4a-4619-aac5-924a81b6f2df
Capital do Sabor;https://www.ifood.com.br/delivery/igarassu-pe/capital-do-sabor-centro/0799a590-c3ff-435e-abbd-82c2c6764a9c
Familia Eurico;https://www.ifood.com.br/delivery/igarassu-pe/familia-eurico-centro/4775e626-1ecc-4061-b13a-a7723627ef40
Caminho da Ilha;https://www.ifood.com.br/delivery/igarassu-pe/caminho-da-ilha-centro/889f6b4b-f782-4fd0-b05e-e2d77a8ceb8d
Marrom Glacê;https://www.ifood.com.br/delivery/recife-pe/marrom-glace-timbo/f45e0d17-f649-450f-9f11-0bb5937ea98f
Império dos Salgados;https://www.ifood.com.br/delivery/abreu-e-lima-pe/imperio-dos-salgados-timbo/f145d35f-396a-4be8-a669-31fde259ecf4
Nat's Pizzaria Delivery;https://www.ifood.com.br/delivery/paulista-pe/nats-pizzaria-delivery-nossa-senhora-da-conceicao/e09394a0-9cc8-459c-bca0-cd12510b73d3
Paço Real - Norte Way;https://www.ifood.com.br/delivery/paulista-pe/paco-real---norte-way-centro/e2b392f1-807f-4ca7-85ea-d13d8b3001cc
Pizzaria da Glaubia;https://www.ifood.com.br/delivery/paulista-pe/pizzaria-da-glaubia-pau-amarelo/85ffa7e2-c82c-40dd-a1e0-3464d2429340
Magno Pizza;https://www.ifood.com.br/delivery/paulista-pe/magno-pizza-nobre/36588519-ed99-46aa-990a-77459c93e1c8
Pizzaria Barriga Cheia;https://www.ifood.com.br/delivery/paulista-pe/pizzaria-barriga-cheia-nossa-senhora-do-o/4fbda962-9622-4bdd-b30b-1d8835b3cc31
Prime Pizza;https://www.ifood.com.br/delivery/paulista-pe/prime-pizza-centro/a2d49d89-88a3-48cf-a4fc-3b51e74b9b6b
Brangus Hamburgueria Artesanal;https://www.ifood.com.br/delivery/itapissuma-pe/brangus-hamburgueria-artesanal-centro/0ec66145-6fb7-4acb-b57e-5673fa937a97
Mundo Burguer;https://www.ifood.com.br/delivery/igarassu-pe/mundo-burguer-umbura/614edcb1-3f20-4019-8084-366fed41646a
Casa da Pizza;https://www.ifood.com.br/delivery/igarassu-pe/casa-da-pizza-umbura/1d71f78d-78b5-43d7-b41d-2a383f0a6569
Leleo Pizza;https://www.ifood.com.br/delivery/igarassu-pe/leleo-pizza-bonfim/91927b4e-13be-427b-99fa-6a527d8ea841
Peggiore Pizza;https://www.ifood.com.br/delivery/igarassu-pe/peggiore-pizza-saramandaia/42ea839b-c03f-4cf4-94a2-0f67e70eacdf
Fred's Pizza;https://www.ifood.com.br/delivery/abreu-e-lima-pe/freds-pizza-alto-sao-miguel/d2d5f37a-b4c4-437d-baa1-447fdb26fe34
Big Lanches;https://www.ifood.com.br/delivery/igarassu-pe/big-lanches-centro/d6b1b94d-0659-4ff3-a28b-e80fbe790f4e
Carlito Pizza e Lanches;https://www.ifood.com.br/delivery/abreu-e-lima-pe/carlito-pizza-e-lanches-alto-sao-miguel/30412223-343e-4430-a5c9-7525be1c1df9
No Forno;https://www.ifood.com.br/delivery/abreu-e-lima-pe/no-forno-centro/9e419f64-1da1-4fbe-9608-426f1b4962c2
Maricota Burgueria e Pizzaria;https://www.ifood.com.br/delivery/abreu-e-lima-pe/maricota-burgueria-e-pizzaria-centro/4cfdf70e-d90f-4273-b1f5-776c8573039d
Mestre dos Salgados;https://www.ifood.com.br/delivery/abreu-e-lima-pe/mestre-dos-salgados-centro/6a7c1aa6-4162-4eb5-b31a-96dbb7bc1368
Box China;https://www.ifood.com.br/delivery/abreu-e-lima-pe/box-china-planalto/f100b98e-25ea-4e9d-aad0-2bdb99c5f2fc
Sorvetes Bacana;https://www.ifood.com.br/delivery/abreu-e-lima-pe/sorvetes-bacana-centro/1ea9487f-3781-47fd-8f08-c615d842f102
Sr. Batata;https://www.ifood.com.br/delivery/abreu-e-lima-pe/sr-batata-caetes-i/e837a88f-8991-47d8-a361-a055d601171e
Turma da Pizza;https://www.ifood.com.br/delivery/abreu-e-lima-pe/turma-da-pizza-caetes-ii/c847fcf9-4227-4c28-89df-517e66d44a8b
