NomeLoja;EnderecoWeb;Cardapio
Monster Burguer e Pizzaria;https://www.ifood.com.br/delivery/igarassu-pe/monster-burguer-e-pizzaria-umbura/bc5f2cc8-7cf2-4494-a549-626754a58507;[['GRANDE  (8 PEDAÇOS)', [['Calabresa ', '+ R$ 48,00', 'Frango com catupiry ', '+ R$ 59,00', 'Carne de sol com queijo coalho ', '+ R$ 59,00', 'Carne de sol com queijo coalho ', '+ R$ 59,00', 'Bacon ', '+ R$ 48,00'], ['Massa Massa fina  + Borda Tradicional', '-']]], ['GRANDE  2 SABORES (8 PEDAÇOS)', [['1/2 Calabresa ', '+ R$ 24,00', '1/2 Frango com catupiry ', '+ R$ 29,50', '1/2 Carne de sol com queijo coalho ', '+ R$ 29,50', '1/2 Carne de sol com queijo coalho ', '+ R$ 29,50', '1/2 Bacon ', '+ R$ 24,00'], ['Massa Massa fina  + Borda Tradicional', '-']]]]
Pizza em Casa;https://www.ifood.com.br/delivery/igarassu-pe/pizza-em-casa-jardim-boa-sorte/ec6a3997-c0d3-4598-9e0c-4c43b4fee1f6;[['GRANDE (8 PEDAÇOS)', [['ROMEU E JULIETA', '+ R$ 30,90', 'BRIGADEIRO', '+ R$ 35,90', 'CARTOLA', '+ R$ 32,90', 'CHARQUE', '+ R$ 42,90', 'DOIS QUEIJOS', '+ R$ 30,90', 'MILHO VERDE', '+ R$ 30,90', 'PRESUNTO', '+ R$ 30,90', 'NAPOLITANA', '+ R$ 30,90', 'MARGUERITA', '+ R$ 29,90', 'BACON', '+ R$ 32,90', 'QUATRO QUEIJOS', '+ R$ 37,90', 'A MODA DA CASA', '+ R$ 38,90', 'ATUM COM CATUPIRY', '+ R$ 37,90', 'MISTA', '+ R$ 39,90', 'ATUM', '+ R$ 34,90', 'TRES QUEIJOS', '+ R$ 35,90', 'PORTUGUESA', '+ R$ 37,90', 'FRANGO COM CHEDDAR', '+ R$ 36,90', 'FRANGO COM CATUPIRY', '+ R$ 36,90', 'FRANGO', '+ R$ 35,90', 'MUSSARELA', '+ R$ 29,90', 'CALABRESA', '+ R$ 30,90'], ['Catupiry ', '+ R$ 5,00', 'Cheddar', '+ R$ 5,00', 'Sem borda ', '-']]], ['GRANDE 4 SABORES (8 PEDAÇOS)', [['1/4 ROMEU E JULIETA', '+ R$ 7,72', '1/4 BRIGADEIRO', '+ R$ 8,97', '1/4 CARTOLA', '+ R$ 8,22', '1/4 CHARQUE', '+ R$ 10,72', '1/4 DOIS QUEIJOS', '+ R$ 7,72', '1/4 MILHO VERDE', '+ R$ 7,72', '1/4 PRESUNTO', '+ R$ 7,72', '1/4 NAPOLITANA', '+ R$ 7,72', '1/4 MARGUERITA', '+ R$ 7,47', '1/4 BACON', '+ R$ 8,22', '1/4 QUATRO QUEIJOS', '+ R$ 9,47', '1/4 A MODA DA CASA', '+ R$ 9,72', '1/4 ATUM COM CATUPIRY', '+ R$ 9,47', '1/4 MISTA', '+ R$ 9,97', '1/4 ATUM', '+ R$ 8,72', '1/4 TRES QUEIJOS', '+ R$ 8,97', '1/4 PORTUGUESA', '+ R$ 9,47', '1/4 FRANGO COM CHEDDAR', '+ R$ 9,22', '1/4 FRANGO COM CATUPIRY', '+ R$ 9,22', '1/4 FRANGO', '+ R$ 8,97', '1/4 MUSSARELA', '+ R$ 7,47', '1/4 CALABRESA', '+ R$ 7,72'], ['Catupiry ', '+ R$ 5,00', 'Cheddar', '+ R$ 5,00', 'Sem borda ', '-']]], ['MÉDIA (6 PEDAÇOS)', [['ROMEU E JULIETA', '+ R$ 27,90', 'BRIGADEIRO', '+ R$ 27,90', 'CARTOLA', '+ R$ 26,90', 'CHARQUE', '+ R$ 36,90', 'DOIS QUEIJOS', '+ R$ 26,90', 'MILHO VERDE', '+ R$ 25,90', 'PRESUNTO', '+ R$ 26,90', 'NAPOLITANA', '+ R$ 26,90', 'MARGUERITA', '+ R$ 26,90', 'BACON', '+ R$ 29,90', 'QUATRO QUEIJOS', '+ R$ 29,90', 'A MODA DA CASA', '+ R$ 31,90', 'ATUM COM CATUPIRY', '+ R$ 28,90', 'MISTA', '+ R$ 30,90', 'ATUM', '+ R$ 27,90', 'TRES QUEIJOS', '+ R$ 27,90', 'PORTUGUESA', '+ R$ 29,90', 'FRANGO COM CHEDDAR', '+ R$ 28,90', 'FRANGO COM CATUPIRY', '+ R$ 28,90', 'FRANGO', '+ R$ 27,90', 'MUSSARELA', '+ R$ 26,90', 'CALABRESA', '+ R$ 27,90'], ['Catupiry ', '+ R$ 5,00', 'Cheddar', '+ R$ 5,00', 'Sem borda ', '-']]], ['MÉDIA 3 SABORES (6 PEDAÇOS)', [['1/3 ROMEU E JULIETA', '+ R$ 9,30', '1/3 BRIGADEIRO', '+ R$ 9,30', '1/3 CARTOLA', '+ R$ 8,97', '1/3 CHARQUE', '+ R$ 12,30', '1/3 DOIS QUEIJOS', '+ R$ 8,97', '1/3 MILHO VERDE', '+ R$ 8,63', '1/3 PRESUNTO', '+ R$ 8,97', '1/3 NAPOLITANA', '+ R$ 8,97', '1/3 MARGUERITA', '+ R$ 8,97', '1/3 BACON', '+ R$ 9,97', '1/3 QUATRO QUEIJOS', '+ R$ 9,97', '1/3 A MODA DA CASA', '+ R$ 10,63', '1/3 ATUM COM CATUPIRY', '+ R$ 9,63', '1/3 MISTA', '+ R$ 10,30', '1/3 ATUM', '+ R$ 9,30', '1/3 TRES QUEIJOS', '+ R$ 9,30', '1/3 PORTUGUESA', '+ R$ 9,97', '1/3 FRANGO COM CHEDDAR', '+ R$ 9,63', '1/3 FRANGO COM CATUPIRY', '+ R$ 9,63', '1/3 FRANGO', '+ R$ 9,30', '1/3 MUSSARELA', '+ R$ 8,97', '1/3 CALABRESA', '+ R$ 9,30'], ['Catupiry ', '+ R$ 5,00', 'Cheddar', '+ R$ 5,00', 'Sem borda ', '-']]]]
Bonna Massa;https://www.ifood.com.br/delivery/igarassu-pe/bonna-massa-panco/95f7c3ca-663d-48ca-90d5-5fcb47d68708;[['GRANDE (8 PEDAÇOS)', [['Milho', '+ R$ 29,90', 'Mussarela', '+ R$ 35,00', 'Tomatella', '+ R$ 35,00', 'Dois Queijos', '+ R$ 36,00', '3 Queijos', '+ R$ 36,00', '4 Queijos', '+ R$ 36,00', 'Baiana', '+ R$ 37,00', 'Bauru', '+ R$ 37,00', 'Moda do Cheff', '+ R$ 38,00', 'Calabresa com B.B.Q', '+ R$ 38,00', 'CalaMu', '+ R$ 38,00', ' Calabresa', '+ R$ 38,00', 'Calabresa C/ Catupiry ', '+ R$ 38,00', 'Frango', '+ R$ 38,00', 'Frango com B.B.Q', '+ R$ 38,00', 'Frango com Cheddar', '+ R$ 38,00', ' Frango Com Requeijão', '+ R$ 38,00', 'Frango Catupiry', '+ R$ 38,00', 'Frango com Cream Cheese', '+ R$ 39,00', 'Frango Caipira', '+ R$ 39,00', 'Salame', '+ R$ 39,00', 'Catuperone', '+ R$ 39,00', 'Pepperoni', '+ R$ 39,00', 'Camarão', '+ R$ 48,00', 'Camarão C/ Cheddar ', '+ R$ 48,00', 'Camarão c/ Catupiry', '+ R$ 48,00', 'Camarão C/ Cream Cheese', '+ R$ 48,00'], ['Massa Tradicional + Borda Tradicional', '-']]], ['GRANDE 2 SABORES (8 PEDAÇOS)', [['1/2 Milho', '+ R$ 14,95', '1/2 Mussarela', '+ R$ 17,50', '1/2 Tomatella', '+ R$ 17,50', '1/2 Dois Queijos', '+ R$ 18,00', '1/2 3 Queijos', '+ R$ 18,00', '1/2 4 Queijos', '+ R$ 18,00', '1/2 Baiana', '+ R$ 18,50', '1/2 Bauru', '+ R$ 18,50', '1/2 Moda do Cheff', '+ R$ 19,00', '1/2 Calabresa com B.B.Q', '+ R$ 19,00', '1/2 CalaMu', '+ R$ 19,00', '1/2  Calabresa', '+ R$ 19,00', '1/2 Calabresa C/ Catupiry ', '+ R$ 19,00', '1/2 Frango', '+ R$ 19,00', '1/2 Frango com B.B.Q', '+ R$ 19,00', '1/2 Frango com Cheddar', '+ R$ 19,00', '1/2  Frango Com Requeijão', '+ R$ 19,00', '1/2 Frango Catupiry', '+ R$ 19,00', '1/2 Frango com Cream Cheese', '+ R$ 19,50', '1/2 Frango Caipira', '+ R$ 19,50', '1/2 Salame', '+ R$ 19,50', '1/2 Catuperone', '+ R$ 19,50', '1/2 Pepperoni', '+ R$ 19,50', '1/2 Camarão', '+ R$ 24,00', '1/2 Camarão C/ Cheddar ', '+ R$ 24,00', '1/2 Camarão c/ Catupiry', '+ R$ 24,00', '1/2 Camarão C/ Cream Cheese', '+ R$ 24,00'], ['Massa Tradicional + Borda Tradicional', '-']]], ['Pizza Grande + Refri De 1 Litro', [['Mussarela', '-', 'Calabresa', '-', 'Três queijos', '-'], ['Antarctica', '-', 'Sukita laranja', '-', 'Soda', '-']]], ['Pizza De Mussarela + Refri 1l', 'R$ 37,00R$ 40,00'], ['Clone', [['Mussarela', '-', '3 Queijos', '-']]], ['Clone de Pizza de Calabresa', 'R$ 65,00R$ 74,00'], ['3 Pizza + Fanta 2 Litros', 'R$ 111,99'], ['Pizza de Frango Caipira + Fanta 2l', 'R$ 49,00R$ 51,00'], ['Pizza de Camarão + Coca Cola 2 Lt', 'R$ 58,00R$ 63,00']]
Tapiocaria e Pizzaria Dekas;https://www.ifood.com.br/delivery/igarassu-pe/tapiocaria-e-pizzaria-dekas-santo-antonio/c466f0ad-fc3d-4ce2-bb34-3a643ebb78fe;[['Pizza de Mussarela', 'R$ 26,00'], ['Pizza de calabresa', 'R$ 30,00'], ['Pizza de Camarão', 'R$ 42,00'], ['Charque com Catupiry', 'R$ 42,00'], ['Pizza de Presunto', 'R$ 29,00'], ['Pizza de Bacon', 'R$ 40,00'], ['Pizza Caipira', 'R$ 42,00'], ['Pizza de Portuguesa', 'R$ 39,00'], ['Frango', 'R$ 34,00'], ['Frango com Catupiry', 'R$ 39,00']]
Pizzaria Sensacao;https://www.ifood.com.br/delivery/igarassu-pe/pizzaria-sensacao-saramandaia/165f94bf-6e6c-47ca-b76c-de23c51caf20;[['Catupiry', 'R$ 6,00'], ['Cheddar', '-'], ['Chocolate', 'R$ 10,00'], ['Atum', 'R$ 45,90'], ['Brigadeiro', 'R$ 40,90'], ['Calabresa', 'R$ 40,90'], ['Camarão', 'R$ 52,90'], ['Cartola', 'R$ 42,90'], ['Champignon', 'R$ 56,90'], ['Charque', 'R$ 45,90'], ['Costela No Bafo', 'R$ 43,90'], ['Frango', 'R$ 43,90'], ['Frango Catupiry', 'R$ 46,90'], ['Frango Com Bacon', 'R$ 45,90'], ['Italiana', '-'], ['Lombo Canadensi', 'R$ 48,90'], ['Marguerita', 'R$ 43,90'], ['Moda Da Casa', 'R$ 64,90'], ['Mussarela', '-'], ['Napolitano', 'R$ 40,90'], ['Palmito', 'R$ 45,90'], ['Pepperoni', 'R$ 45,90'], ['Portuguesa', 'R$ 46,90'], ['Presunto', 'R$ 40,90'], ['Quatro Queijo', 'R$ 45,90'], ['Toscana', 'R$ 43,90'], ['Atum e Brocolis', 'R$ 49,90'], ['Brocolis Especial', 'R$ 49,90'], ['Brocolis', 'R$ 40,90'], ['Calabresa C/ Cream cheese', 'R$ 50,90'], ['Fango C/ Cream cheese', 'R$ 53,90'], ['Presunto C/ Creme cheese', 'R$ 50,90'], ['Atum C/ Cream cheese', 'R$ 55,90'], ['Camarão C/ Cream cheese', 'R$ 62,90'], ['Frango C/ Bacon e Creme Cheese', 'R$ 55,90'], ['Palmito C/ Cream cheese', 'R$ 55,90'], ['Bacon C/ Cream Cheese', 'R$ 50,90'], ['Charque C/ Cream Cheese', 'R$ 55,90'], ['Pepperoni C/ Cream Cheese', 'R$ 55,90'], ['Lombo Canadense C/ Cream cheese', 'R$ 58,90'], ['Italiana C/ Cream Cheese', 'R$ 62,90'], ['Brocolis C/ Cream Cheese', '-'], ['Mussarela C/ Cream cheese', 'R$ 50,90'], ['Calabresa C/ Bacon', 'R$ 47,90'], ['Charque C/ Bacon', 'R$ 52,90'], ['Costela C/ Bacon', '-']]
Pizzaria do Grau;https://www.ifood.com.br/delivery/igarassu-pe/pizzaria-do-grau-igarassu/a1b7bd05-0c4a-4619-aac5-924a81b6f2df;[['GRANDE (8 PEDAÇOS)', [['3 Queijos ', '+ R$ 40,00', 'Frango com cherdda ', '+ R$ 40,00', 'Só frango ', '+ R$ 40,00', 'Brigadeiro ', '+ R$ 40,00', 'Cartola ', '+ R$ 40,00', 'Mista ', '+ R$ 40,00', 'Portuguesa ', '+ R$ 40,00', 'Mussarela ', '+ R$ 40,00', 'Calabresa', '+ R$ 40,00', 'Frango com catupiry ', '+ R$ 40,00'], ['Especial ', '-']]]]
Capital do Sabor;https://www.ifood.com.br/delivery/igarassu-pe/capital-do-sabor-centro/0799a590-c3ff-435e-abbd-82c2c6764a9c;[['Moda da casa + guarana Antártica de 1l', 'R$ 45,00'], ['Pizza Calabresa com 3 queijo + guarana Antártica de 1 litro', 'R$ 35,00'], ['Pizza 3 queijo tamanho G 8 fatias + guarana Antártica de 1l', 'R$ 35,00'], ['Pizza calabresa tamanho G 8 fatias + guarana Antártica de 1l', 'R$ 35,00'], ['Pizza portuguesa tamanho G 8 fatias + guarana Antártica de 1l', 'R$ 40,00'], ['Pizza mussarela tamanho G 8 fatias + guarana Antártica de 1l', 'R$ 34,00'], ['Pizza frango catupyri tamanho G 8 fatias + guarana Antártica de 1l', 'R$ 40,00'], ['Pizza Calabresa com mussarela + guarana Antártica de 1 litro', 'R$ 35,00'], ['Pizza Três queijo + mussarela + guarana Antártica de 1 litros', 'R$ 35,00'], ['Pizza Meio charque meio frango + guarana Antártica de 1l', 'R$ 45,00'], ['Pizza frango com cheddar + guarana Antártica de 1l', 'R$ 40,00'], ['Pizza pressinto + guarana Antártica de 1l', 'R$ 38,00'], ['Pizza charque + guarana Antártica de 1l', 'R$ 45,00'], ['Pizza frango + guarana Antártica de 1l', 'R$ 38,00']]
Familia Eurico;https://www.ifood.com.br/delivery/igarassu-pe/familia-eurico-centro/4775e626-1ecc-4061-b13a-a7723627ef40;[['Presunto', 'R$ 30,00'], ['Frango', '-'], ['Portuguesa', 'R$ 35,00'], ['Atum', 'R$ 40,00'], ['Lombo canadense', 'R$ 40,00'], ['Charque', 'R$ 40,00']]
Caminho da Ilha;https://www.ifood.com.br/delivery/igarassu-pe/caminho-da-ilha-centro/889f6b4b-f782-4fd0-b05e-e2d77a8ceb8d;[['GRANDE (8 PEDAÇOS)', [['PIZZA CAMINHO DA ILHA', '+ R$ 51,30', 'BANANA C/ CANELA (CARTOLA)', '+ R$ 42,09', 'BRIGADEIRO', '+ R$ 42,09', 'MUSSARELA', '+ R$ 39,67', 'CALABRESA', '+ R$ 42,09', 'PORTUGUESA', '+ R$ 48,53', 'FRANGO', '+ R$ 42,09', 'FRANGO COM CATUPIRY', '+ R$ 44,74', '4 QUEIJOS', '+ R$ 48,53', '3 QUEIJOS', '+ R$ 47,03', 'ATUM COM CEBOLA', '+ R$ 44,73', 'ESPANHOLA', '+ R$ 56,12', 'CATUPIRY', '+ R$ 47,26', 'PRESUNTO', '+ R$ 42,09', 'MARGHERITA', '+ R$ 42,09', 'NAPOLITTANA', '+ R$ 42,09', 'PEPERONE', '+ R$ 54,62'], ['BORDA CATUPIRY', '+ R$ 13,80', 'BORDA CHEDDAR', '+ R$ 13,80', 'MASSA TRADICIONAL', '-']]], ['GRANDE 2 SABORES (8 PEDAÇOS)', '-'], ['MEDIA (6 PEDAÇOS)', [['PIZZA CAMINHO DA ILHA', '+ R$ 44,73', 'BANANA C/ CANELA (CARTOLA)', '+ R$ 34,61', 'BRIGADEIRO', '+ R$ 34,61', 'MUSSARELA', '+ R$ 30,82', 'CALABRESA', '+ R$ 34,61', 'PORTUGUESA', '+ R$ 39,04', 'FRANGO', '+ R$ 34,61', 'FRANGO COM CATUPIRY', '+ R$ 51,06', '4 QUEIJOS', '+ R$ 39,67', '3 QUEIJOS', '+ R$ 37,37', 'ATUM COM CEBOLA', '+ R$ 39,67', 'ESPANHOLA', '+ R$ 50,94', 'CATUPIRY', '+ R$ 38,29', 'PRESUNTO', '+ R$ 34,61', 'MARGHERITA', '+ R$ 34,61', 'NAPOLITTANA', '+ R$ 39,67', 'PEPERONE', '+ R$ 45,65'], ['BORDA CATUPIRY', '+ R$ 13,80', 'BORDA CHEDDAR', '+ R$ 13,80', 'MASSA TRADICIONAL', '-']]], ['MEDIA 2 SABORES (6 PEDAÇOS)', [['1/2 PIZZA CAMINHO DA ILHA', '+ R$ 22,36', '1/2 BANANA C/ CANELA (CARTOLA)', '+ R$ 17,30', '1/2 BRIGADEIRO', '+ R$ 17,30', '1/2 MUSSARELA', '+ R$ 15,41', '1/2 CALABRESA', '+ R$ 17,30', '1/2 PORTUGUESA', '+ R$ 19,52', '1/2 FRANGO', '+ R$ 17,30', '1/2 FRANGO COM CATUPIRY', '+ R$ 25,53', '1/2 4 QUEIJOS', '+ R$ 19,83', '1/2 3 QUEIJOS', '+ R$ 18,68', '1/2 ATUM COM CEBOLA', '+ R$ 19,83', '1/2 ESPANHOLA', '+ R$ 25,47', '1/2 CATUPIRY', '+ R$ 19,14', '1/2 PRESUNTO', '+ R$ 17,30', '1/2 MARGHERITA', '+ R$ 17,30', '1/2 NAPOLITTANA', '+ R$ 19,83', '1/2 PEPERONE', '+ R$ 22,82'], ['BORDA CATUPIRY', '+ R$ 13,80', 'BORDA CHEDDAR', '+ R$ 13,80', 'MASSA TRADICIONAL', '-']]], ['PEQUENA (4 PEDAÇOS)', [['PIZZA CAMINHO DA ILHA', '+ R$ 37,14', 'BANANA C/ CANELA (CARTOLA)', '+ R$ 29,67', 'BRIGADEIRO', '+ R$ 29,67', 'MUSSARELA', '+ R$ 25,41', 'CALABRESA', '+ R$ 29,44', 'PORTUGUESA', '+ R$ 31,74', 'FRANGO', '+ R$ 29,44', 'FRANGO COM CATUPIRY', '+ R$ 42,20', '4 QUEIJOS', '+ R$ 30,24', '3 QUEIJOS', '+ R$ 27,45', 'ATUM COM CEBOLA', '+ R$ 28,06', 'ESPANHOLA', '+ R$ 40,94', 'CATUPIRY', '+ R$ 32,08', 'PRESUNTO', '+ R$ 29,44', 'MARGHERITA', '+ R$ 29,44', 'NAPOLITTANA', '+ R$ 32,08', 'PEPERONE', '+ R$ 35,76'], ['BORDA CATUPIRY', '+ R$ 13,80', 'BORDA CHEDDAR', '+ R$ 13,80', 'MASSA TRADICIONAL', '-']]], ['PEQUENA 2 SABORES (4 PEDAÇOS)', [['1/2 PIZZA CAMINHO DA ILHA', '+ R$ 18,57', '1/2 BANANA C/ CANELA (CARTOLA)', '+ R$ 14,83', '1/2 BRIGADEIRO', '+ R$ 14,83', '1/2 MUSSARELA', '+ R$ 12,70', '1/2 CALABRESA', '+ R$ 14,72', '1/2 PORTUGUESA', '+ R$ 15,87', '1/2 FRANGO', '+ R$ 14,72', '1/2 FRANGO COM CATUPIRY', '+ R$ 21,10', '1/2 4 QUEIJOS', '+ R$ 15,12', '1/2 3 QUEIJOS', '+ R$ 13,72', '1/2 ATUM COM CEBOLA', '+ R$ 14,03', '1/2 ESPANHOLA', '+ R$ 20,47', '1/2 CATUPIRY', '+ R$ 16,04', '1/2 PRESUNTO', '+ R$ 14,72', '1/2 MARGHERITA', '+ R$ 14,72', '1/2 NAPOLITTANA', '+ R$ 16,04', '1/2 PEPERONE', '+ R$ 17,88'], ['BORDA CATUPIRY', '+ R$ 13,80', 'BORDA CHEDDAR', '+ R$ 13,80', 'MASSA TRADICIONAL', '-']]]]
Marrom Glacê;https://www.ifood.com.br/delivery/recife-pe/marrom-glace-timbo/f45e0d17-f649-450f-9f11-0bb5937ea98f;[]
