NomeLoja;LojaCampea;EnderecoWeb;Cidade;Estrelas;Segmento;Distancia;Tempo;Frete
Frango Frito Crocante Original;Não;https://www.ifood.com.br/delivery/igarassu-pe/frango-frito-crocante-original-cruz-de-reboucas/0f811730-2c8a-4a09-9c90-ff8f0ab28e28;igarassu-pe;Novidade;Brasileira;0.2 km;5-15 min;R$ 4,99
Monster Burguer e Pizzaria;Não;https://www.ifood.com.br/delivery/igarassu-pe/monster-burguer-e-pizzaria-umbura/bc5f2cc8-7cf2-4494-a549-626754a58507;igarassu-pe;4.4;Lanches;0.3 km;60-70 min;R$ 5,00
Coxinhas de Batata Igarassu;Não;https://www.ifood.com.br/delivery/igarassu-pe/coxinhas-de-batata-igarassu-cruz-do-reboucas/3dd7009c-5ddb-4dd2-9c5b-4f09f17e0830;igarassu-pe;5.0;Lanches;0.5 km;35-45 min;R$ 5,00
Delícia da Rúbia;Não;https://www.ifood.com.br/delivery/igarassu-pe/delicia-da-rubia-cruz-do-reboucas/a759fa25-4522-456a-9243-755e0f5ec810;igarassu-pe;Novidade;Lanches;0.5 km;39-49 min;R$ 4,99
Pizza em Casa;Não;https://www.ifood.com.br/delivery/igarassu-pe/pizza-em-casa-jardim-boa-sorte/ec6a3997-c0d3-4598-9e0c-4c43b4fee1f6;igarassu-pe;4.7;Pizza;0.7 km;30-40 min;Grátis
Bonna Massa;Sim;https://www.ifood.com.br/delivery/igarassu-pe/bonna-massa-panco/95f7c3ca-663d-48ca-90d5-5fcb47d68708;igarassu-pe;4.9;Pizza;0.8 km;60-70 min;R$ 3,00
Boa Pizza Express;Não;https://www.ifood.com.br/delivery/igarassu-pe/boa-pizza-express-umbura/360d4e00-0a56-4176-9487-6e12d56405ab;igarassu-pe;4.8;Pizza;0.9 km;50-60 min;R$ 3,99
Tô Frita! Batatas no Cone;Não;https://www.ifood.com.br/delivery/igarassu-pe/to-frita-batatas-no-cone-umbura/6d60e927-740d-46e1-a97d-56a097cf1dfd;igarassu-pe;4.4;Lanches;0.9 km;44-54 min;R$ 4,99
Batatrailer;Sim;https://www.ifood.com.br/delivery/igarassu-pe/batatrailer-cruz-do-reboucas/191cf549-72b0-4a86-bb49-356c8679d998;igarassu-pe;4.9;Hambúrguer;0.9 km;40-50 min;R$ 4,99
Copinos Gelateria e Comedoria;Não;https://www.ifood.com.br/delivery/igarassu-pe/copinos-gelateria-e-comedoria-cruz-do-reboucas/ee2ce303-c9f3-440d-8679-4b308f131afb;igarassu-pe;4.2;Variada;1.0 km;37-47 min;R$ 6,00
A & e Lanches e Sobremesas;Não;https://www.ifood.com.br/delivery/igarassu-pe/a--e-lanches-e-sobremesas-triunfo/0a91fb47-8468-4601-bd1b-e3d4e983e5f5;igarassu-pe;Novidade;Salgados;1.1 km;16-26 min;R$ 3,99
Lex Salgados;Sim;https://www.ifood.com.br/delivery/igarassu-pe/lex-salgados-cruz-do-reboucas/ce492a50-b874-4eb8-986f-a79c2681fd19;igarassu-pe;4.8;Salgados;1.1 km;35-45 min;R$ 5,99
Pizzaria e Padaria Ebenezer;Não;https://www.ifood.com.br/delivery/igarassu-pe/pizzaria-e-padaria-ebenezer-cruz-do-reboucas/6a53acc6-42d5-468c-877f-f3fd1990f3e3;igarassu-pe;4.8;Pizza;1.1 km;58-68 min;R$ 4,99
Tapiocaria e Pizzaria Dekas;Não;https://www.ifood.com.br/delivery/igarassu-pe/tapiocaria-e-pizzaria-dekas-santo-antonio/c466f0ad-fc3d-4ce2-bb34-3a643ebb78fe;igarassu-pe;Novidade;Pizza;1.1 km;35-45 min;R$ 4,00
Igarassu Cacau;Não;https://www.ifood.com.br/delivery/igarassu-pe/igarassu-cacau-santa-maria/f9b6e7a3-9654-478a-bc13-daa018c34cce;igarassu-pe;5.0;Presentes;1.8 km;44-54 min;R$ 3,99
Vagalum's Naturalles;Não;https://www.ifood.com.br/delivery/igarassu-pe/vagalums-naturalles-rubina/5c362e30-5638-46d0-87ac-f2803f09ff02;igarassu-pe;4.8;Açaí;1.9 km;42-52 min;R$ 4,99
Aqui Tem Cheiro & Sabor- Espetinho, Salgadinho, Salgados;Não;https://www.ifood.com.br/delivery/igarassu-pe/aqui-tem-cheiro--sabor--espetinho-salgadinho-salgados-inhama/71f1fb5a-5453-4294-9903-5ffe0e3d86ab;igarassu-pe;4.9;Lanches;2.1 km;45-55 min;R$ 4,99
Home Burger;Não;https://www.ifood.com.br/delivery/igarassu-pe/home-burger-ana-de-albuquerque/cb2919ec-2c77-4be1-b00f-3f611b146e37;igarassu-pe;4.8;Lanches;2.2 km;34-44 min;R$ 4,00
Di sabor pizzaria;Não;https://www.ifood.com.br/delivery/igarassu-pe/di-sabor-pizzaria-santa-maria/0c020253-4b9e-4390-93b5-f8daf8cc7f03;igarassu-pe;-;Pizza;2.2 km;45-55 min;R$ 5,00
Pizzaria Sensacao;Não;https://www.ifood.com.br/delivery/igarassu-pe/pizzaria-sensacao-saramandaia/165f94bf-6e6c-47ca-b76c-de23c51caf20;igarassu-pe;4.6;Pizza;2.3 km;80-90 min;R$ 6,00
Kelly Restaurante;Não;https://www.ifood.com.br/delivery/igarassu-pe/kelly-restaurante-posto-de-monta/2d0c98e1-beaf-4330-8816-bdf837befa5b;igarassu-pe;4.4;Brasileira;2.3 km;50-60 min;R$ 7,00
Fanatico' S Hambúrguer & Pizza;Não;https://www.ifood.com.br/delivery/igarassu-pe/fanatico-s-hamburguer--pizza-saramandaia/607d55c6-9a3d-434d-80d8-e57d35919276;igarassu-pe;4.2;Pizza;2.5 km;47-57 min;R$ 4,99
Presidente Burguer;Não;https://www.ifood.com.br/delivery/igarassu-pe/presidente-burguer-saramandaia/c159bba9-e60f-4f16-af69-88e26f319870;igarassu-pe;4.8;Lanches;2.5 km;30-40 min;R$ 8,00
Chama Petiscaria;Não;https://www.ifood.com.br/delivery/igarassu-pe/chama-petiscaria-centro/3b735930-0886-4abc-ab1a-e98ed2b65bbf;igarassu-pe;Novidade;Lanches;2.5 km;25-35 min;R$ 4,99
Doce Morena;Não;https://www.ifood.com.br/delivery/igarassu-pe/doce-morena-saramandaia/a2626134-9d42-4178-98ce-1509fa4dbe61;igarassu-pe;Novidade;Doces & Bolos;2.7 km;43-53 min;R$ 5,99
Cheirinho de Vó Picolés Gourmet;Sim;https://www.ifood.com.br/delivery/igarassu-pe/cheirinho-de-vo-picoles-gourmet-saramandaia/c4f2e78b-1514-464c-9ecc-16a515de2c17;igarassu-pe;4.9;Sorvetes;2.8 km;40-50 min;R$ 5,99
Sacolé da Adri;Não;https://www.ifood.com.br/delivery/igarassu-pe/sacole-da-adri-saramandaia/37b7ad31-d82a-458e-b06e-9efe5b33dec0;igarassu-pe;5.0;Sorvetes;2.8 km;48-58 min;R$ 5,99
Rogerio Pizza's;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/rogerio-pizzas-desterro/7ab6e09b-8459-427b-aacd-78ec754dc41b;abreu-e-lima-pe;5.0;Pizza;2.9 km;50-60 min;R$ 7,00
