NomeLoja;LojaCampea;EnderecoWeb;Cidade;Estrelas;Segmento;Distancia;Tempo;Frete
Mania de Açaí;Sim;https://www.ifood.com.br/delivery/igarassu-pe/mania-de-acai-jardim-boa-sorte/24d8e1b5-4a77-4003-a8c0-b7785ec4b9a8;igarassu-pe;4.9;Açaí;0.2 km;30-40 min;R$ 5,00
Monster Burguer e Pizzaria;Sim;https://www.ifood.com.br/delivery/igarassu-pe/monster-burguer-e-pizzaria-umbura/bc5f2cc8-7cf2-4494-a549-626754a58507;igarassu-pe;4.5;Lanches;0.3 km;60-70 min;R$ 5,00
Pan Josina;Não;https://www.ifood.com.br/delivery/igarassu-pe/pan-josina-cruz-do-reboucas/af47d57e-421c-4c65-853c-4ff7df500a9f;igarassu-pe;4.8;Padaria;0.4 km;38-48 min;R$ 4,99
Coxinhas de Batata Igarassu;Não;https://www.ifood.com.br/delivery/igarassu-pe/coxinhas-de-batata-igarassu-cruz-do-reboucas/3dd7009c-5ddb-4dd2-9c5b-4f09f17e0830;igarassu-pe;4.8;Lanches;0.5 km;35-45 min;R$ 5,00
Dog 28;Sim;https://www.ifood.com.br/delivery/igarassu-pe/dog-28-umbura/82ceff95-f542-4690-a41a-4180472ee697;igarassu-pe;4.8;Lanches;0.5 km;30-40 min;R$ 4,00
Pizza em Casa;Não;https://www.ifood.com.br/delivery/igarassu-pe/pizza-em-casa-jardim-boa-sorte/ec6a3997-c0d3-4598-9e0c-4c43b4fee1f6;igarassu-pe;4.8;Pizza;0.7 km;30-40 min;Grátis
Trem Pão - Pão de Queijo Artesanal;Não;https://www.ifood.com.br/delivery/igarassu-pe/trem-pao---pao-de-queijo-artesanal-triunfo/89d6bd04-9701-4b6a-a547-4bdce4c34c09;igarassu-pe;Novidade;Brasileira;0.8 km;15-25 min;R$ 3,99
Bonna Massa;Sim;https://www.ifood.com.br/delivery/igarassu-pe/bonna-massa-panco/95f7c3ca-663d-48ca-90d5-5fcb47d68708;igarassu-pe;4.9;Pizza;0.8 km;60-70 min;R$ 3,00
Diju Salgados;Não;https://www.ifood.com.br/delivery/igarassu-pe/diju-salgados-umbura/861e0790-3933-4af2-8440-ad956c07f14b;igarassu-pe;5.0;Salgados;0.8 km;35-45 min;R$ 3,99
Boa Pizza Express;Não;https://www.ifood.com.br/delivery/igarassu-pe/boa-pizza-express-umbura/360d4e00-0a56-4176-9487-6e12d56405ab;igarassu-pe;4.9;Pizza;0.9 km;50-60 min;R$ 3,99
Batatrailer;Sim;https://www.ifood.com.br/delivery/igarassu-pe/batatrailer-cruz-do-reboucas/191cf549-72b0-4a86-bb49-356c8679d998;igarassu-pe;4.8;Hambúrguer;0.9 km;40-50 min;R$ 4,99
Bella - Milk Shake, Açaí e Lanches;Não;https://www.ifood.com.br/delivery/igarassu-pe/bella---milk-shake-acai-e-lanches-cruz-do-reboucas/facee11e-b875-4ade-ae83-39a4e031038f;igarassu-pe;4.7;Lanches;1.0 km;41-51 min;R$ 2,99
Pizzaria Mix;Não;https://www.ifood.com.br/delivery/igarassu-pe/pizzaria-mix-cruz-do-reboucas/06e4eed6-8c88-47ba-82c6-37f3c013dccf;igarassu-pe;Novidade;Pizza;1.0 km;40-50 min;R$ 3,99
Copinos Gelateria e Comedoria;Não;https://www.ifood.com.br/delivery/igarassu-pe/copinos-gelateria-e-comedoria-cruz-do-reboucas/ee2ce303-c9f3-440d-8679-4b308f131afb;igarassu-pe;4.3;Variada;1.0 km;37-47 min;R$ 6,00
Milly Comercio & Refeição;Não;https://www.ifood.com.br/delivery/igarassu-pe/milly-comercio--refeicao-triunfo/af8937a4-e7ca-48d2-b859-9938f6482464;igarassu-pe;4.4;Brasileira;1.1 km;48-58 min;R$ 5,99
Evinho Burguer;Não;https://www.ifood.com.br/delivery/igarassu-pe/evinho-burguer-encanto-igarassu/99eb571e-85e9-422b-aa75-be0e1ad03d91;igarassu-pe;Novidade;Lanches;1.1 km;40-50 min;Grátis
Lex Salgados;Sim;https://www.ifood.com.br/delivery/igarassu-pe/lex-salgados-cruz-do-reboucas/ce492a50-b874-4eb8-986f-a79c2681fd19;igarassu-pe;4.8;Salgados;1.1 km;35-45 min;R$ 5,99
Pizzaria e Padaria Ebenezer;Não;https://www.ifood.com.br/delivery/igarassu-pe/pizzaria-e-padaria-ebenezer-cruz-do-reboucas/6a53acc6-42d5-468c-877f-f3fd1990f3e3;igarassu-pe;4.7;Pizza;1.1 km;60-70 min;R$ 4,99
Tapiocaria e Pizzaria Dekas;Não;https://www.ifood.com.br/delivery/igarassu-pe/tapiocaria-e-pizzaria-dekas-santo-antonio/c466f0ad-fc3d-4ce2-bb34-3a643ebb78fe;igarassu-pe;Novidade;Pizza;1.1 km;35-45 min;R$ 4,00
T L Refeicoes;Não;https://www.ifood.com.br/delivery/igarassu-pe/t-l-refeicoes-inhama/764fe8dc-9c58-4b2c-b736-0ed478efc033;igarassu-pe;4.5;Brasileira;1.2 km;47-57 min;R$ 4,99
Bababa Açaí;Não;https://www.ifood.com.br/delivery/igarassu-pe/bababa-acai-cruz-do-reboucas/35111a06-175d-40c5-80b7-dbd341d7de77;igarassu-pe;5.0;Açaí;1.3 km;35-45 min;R$ 3,99
Mini Coxinha da Ivonny;Não;https://www.ifood.com.br/delivery/igarassu-pe/mini-coxinha-da-ivonny-santo-antonio/e27b2bee-a37e-4fa6-bc6b-3d27f8f31453;igarassu-pe;4.9;Lanches;1.3 km;39-49 min;R$ 3,99
Circo Burger;Não;https://www.ifood.com.br/delivery/igarassu-pe/circo-burger-cruz-do-reboucas/6f906b75-0e53-4274-bdbf-b4bcf26df83e;igarassu-pe;4.6;Hambúrguer;1.6 km;40-50 min;R$ 5,00
Acaí dos Sonhos;Não;https://www.ifood.com.br/delivery/igarassu-pe/acai-dos-sonhos-santo-antonio/288d4745-eca3-489e-a02a-034b09590f03;igarassu-pe;5.0;Açaí;1.6 km;45-55 min;R$ 3,00
Igarassu Cacau;Não;https://www.ifood.com.br/delivery/igarassu-pe/igarassu-cacau-santa-maria/f9b6e7a3-9654-478a-bc13-daa018c34cce;igarassu-pe;5.0;Presentes;1.8 km;38-48 min;R$ 3,99
Aqui Tem Cheiro & Sabor- Espetinho, Salgadinho, Salgados;Não;https://www.ifood.com.br/delivery/igarassu-pe/aqui-tem-cheiro--sabor--espetinho-salgadinho-salgados-inhama/71f1fb5a-5453-4294-9903-5ffe0e3d86ab;igarassu-pe;5.0;Lanches;2.1 km;45-55 min;R$ 4,99
Home Burger;Não;https://www.ifood.com.br/delivery/igarassu-pe/home-burger-ana-de-albuquerque/cb2919ec-2c77-4be1-b00f-3f611b146e37;igarassu-pe;4.7;Lanches;2.2 km;34-44 min;R$ 3,00
Pizzaria Sensacao;Não;https://www.ifood.com.br/delivery/igarassu-pe/pizzaria-sensacao-saramandaia/165f94bf-6e6c-47ca-b76c-de23c51caf20;igarassu-pe;4.9;Pizza;2.3 km;80-90 min;R$ 6,00
Kelly Restaurante;Não;https://www.ifood.com.br/delivery/igarassu-pe/kelly-restaurante-posto-de-monta/2d0c98e1-beaf-4330-8816-bdf837befa5b;igarassu-pe;4.7;Brasileira;2.3 km;50-60 min;R$ 7,00
Presidente Burguer;Não;https://www.ifood.com.br/delivery/igarassu-pe/presidente-burguer-saramandaia/c159bba9-e60f-4f16-af69-88e26f319870;igarassu-pe;4.8;Lanches;2.5 km;30-40 min;R$ 8,00
Fanatico' S Hambúrguer & Pizza;Não;https://www.ifood.com.br/delivery/igarassu-pe/fanatico-s-hamburguer--pizza-saramandaia/607d55c6-9a3d-434d-80d8-e57d35919276;igarassu-pe;4.4;Pizza;2.7 km;44-54 min;R$ 4,99
Doce Morena;Não;https://www.ifood.com.br/delivery/igarassu-pe/doce-morena-saramandaia/a2626134-9d42-4178-98ce-1509fa4dbe61;igarassu-pe;Novidade;Doces & Bolos;2.7 km;43-53 min;R$ 5,99
Cheirinho de Vó Picolés Gourmet;Sim;https://www.ifood.com.br/delivery/igarassu-pe/cheirinho-de-vo-picoles-gourmet-saramandaia/c4f2e78b-1514-464c-9ecc-16a515de2c17;igarassu-pe;4.9;Sorvetes;2.8 km;36-46 min;R$ 5,99
